sku,slug,nome_original,titulo_seo,descricao_seo,marca,tipo_produto,preco,estoque,imagem,alertas
JVAQMA55,vaso-antique-55-75l-macchiato-japi-brown,"Vaso Antique 55 75L Macchiato Japi Brown","Vasos Decorativos Vaso Antique 55 75L Macchiato Japi Brown 75 l JVAQMA55","Vaso Antique 55 75L Macchiato Japi Brown é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Japi   SKU: JVAQMA55   Capacidade: 75 l   Categoria: Vasos para Flores Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 75l, 75 l. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",576.60,12,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/f2bf40acdbddc2a587fde9b806d2e40a.jpg,
JVAQCQ44,vaso-antique-44-70l-cimento-queimado-japi,"Vaso Antique 44 70L Cimento Queimado Japi","Vasos Decorativos Vaso Antique 44 70L Cimento Queimado Japi 70 l JVAQCQ44","Vaso Antique 44 70L Cimento Queimado Japi é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Japi   SKU: JVAQCQ44   Capacidade: 70 l   Categoria: Vasos para Flores Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 70l, 70 l. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",574.90,4,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/3a7e0f820484a90f66ae3ba0ec84fbdf.jpg,
JVAQMA56,vaso-decorativo-plantas-antique-56-46l-macchiato-japi,"Vaso Decorativo Plantas Antique 56 (46l) Macchiato Japi","Vasos Decorativos Vaso Decorativo Plantas Antique 56 (46l) Macchiato Japi 46 l JVAQMA56","Vaso Decorativo Plantas Antique 56 (46l) Macchiato Japi é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Japi   SKU: JVAQMA56   Capacidade: 46 l   Categoria: Vasos para Flores Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 46l, 46 l. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",471.19,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/aa81acb4cedba991a908d08bf73cdee2.jpeg,
N09R,caixa-ferramentas-sanfonada-7-gavetas-reforcada-09r-fercar,"Caixa Ferramentas Sanfonada 7 Gavetas Refor 50x20x25cm 09R Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 7 Gavetas Refor 50x20x25cm 09R Fercar N09R","A caixa sanfonada Fercar é a escolha definitiva para profissionais e entusiastas que buscam organização e resistência. Fabricada em chapa de aço de alta qualidade com pintura eletrostática, ela protege suas ferramentas contra corrosão e impactos. Seu sistema articulado suave permite visualizar todo o conteúdo de uma só vez, facilitando o acesso rápido a itens de diferentes tamanhos. Possui alça reforçada e porta-cadeado para maior segurança no transporte e armazenamento. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Produto temporariamente sem estoque.",Fercar,"Ferramentas Manuais",329.00,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/4a47339654b6b3c2fc95672082ed51b6.png,sem_estoque
13,caixa-ferramentas-bau-reto-n13-50x25x22-fercar,"Caixa Ferramentas Bau Reto N13 50x25x22 C/ Bandeja Fercar","Ferramentas Manuais Caixa Ferramentas Bau Reto N13 50x25x22 C/ Bandeja Fercar azul","Caixa de Ferramentas Baú Reto FERCAR (Linha Metálica)Alta Resistência e Organização para Profissionais e HobbyistasA Caixa de Ferramentas tipo Baú Reto da Fercar é a solução ideal para quem busca durabilidade, segurança e praticidade no armazenamento e transporte de ferramentas. Fabricada em chapa de aço reforçada, ela foi projetada para suportar o uso diário intenso, tanto em oficinas profissionais, canteiros de obras, quanto para organização doméstica ou automotiva.Diferenciais e DestaquesConstrução Robusta: Fabricada em chapa de aço carbono de alta qualidade, garantindo longa vida útil e proteção contra impactos.Tratamento Anti-ferrugem: Recebe tratamento especial de superfície, aumentando a resistência à corrosão e tornando-a ideal para ambientes adversos.Acabamento Premium: Pintura eletrostática a pó, que proporciona maior durabilidade da cor e resistência a arranhões.Organização Prática: Acompanha bandeja removível (estojo), perfeita para acomodar ferramentas pequenas, acessórios, parafusos e chaves.Segurança Reforçada: Possui sistema de porta-cadeado integrado (dois pontos em modelos maiores), permitindo o travamento seguro da tampa.Design Baú Reto: Formato otimizado para acomodar ferramentas de médio e grande porte, como martelos, marretas, chaves inglesas e furadeiras.Tampa com Proteção: Projetada com tampa anti-chuva, protegendo as ferramentas contra umidade e poeira.Características Técnicas GeraisMarca: FercarMaterial: Chapa de Aço CarbonoModelo: Baú Reto com Bandeja (Estojo)Tipo de Alça: Alça de aço superior para transporte manualCor: Azul Padrão Fercar Principais atributos: azul. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta, com freio. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",198.31,3,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/5e493ccfa50e660ba9de7d3c96e28058.jpg,
16,caixa-ferramentas-bau-reto-n16-80x34x45-fercar,"Caixa Ferramentas Bau Reto N16 80x34x45cm C/ Bandeja Fercar","Ferramentas Manuais Caixa Ferramentas Bau Reto N16 80x34x45cm C/ Bandeja Fercar azul","Caixa de Ferramentas Baú Reto FERCAR (Linha Metálica)Alta Resistência e Organização para Profissionais e HobbyistasA Caixa de Ferramentas tipo Baú Reto da Fercar é a solução ideal para quem busca durabilidade, segurança e praticidade no armazenamento e transporte de ferramentas. Fabricada em chapa de aço reforçada, ela foi projetada para suportar o uso diário intenso, tanto em oficinas profissionais, canteiros de obras, quanto para organização doméstica ou automotiva.Diferenciais e DestaquesConstrução Robusta: Fabricada em chapa de aço carbono de alta qualidade, garantindo longa vida útil e proteção contra impactos.Tratamento Anti-ferrugem: Recebe tratamento especial de superfície, aumentando a resistência à corrosão e tornando-a ideal para ambientes adversos.Acabamento Premium: Pintura eletrostática a pó, que proporciona maior durabilidade da cor e resistência a arranhões.Organização Prática: Acompanha bandeja removível (estojo), perfeita para acomodar ferramentas pequenas, acessórios, parafusos e chaves.Segurança Reforçada: Possui sistema de porta-cadeado integrado (dois pontos em modelos maiores), permitindo o travamento seguro da tampa.Design Baú Reto: Formato otimizado para acomodar ferramentas de médio e grande porte, como martelos, marretas, chaves inglesas e furadeiras.Tampa com Proteção: Projetada com tampa anti-chuva, protegendo as ferramentas contra umidade e poeira.Características Técnicas GeraisMarca: FercarMaterial: Chapa de Aço CarbonoModelo: Baú Reto com Bandeja (Estojo)Tipo de Alça: Alça de aço superior para transporte manualCor: Azul Padrão Fercar Principais atributos: azul. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta, com freio. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",709.85,11,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/2efcf39b893ece81d227373aa5cff930.jpg,
03S,caixa-ferramentas-sanfonada-3-gavetas-n03s-fercar,"Caixa Ferramentas Sanfonada 3 Gavetas 20x30x17cm N03S Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 3 Gavetas 20x30x17cm N03S Fercar","A caixa sanfonada Fercar é a escolha definitiva para profissionais e entusiastas que buscam organização e resistência. Fabricada em chapa de aço de alta qualidade com pintura eletrostática, ela protege suas ferramentas contra corrosão e impactos. Seu sistema articulado suave permite visualizar todo o conteúdo de uma só vez, facilitando o acesso rápido a itens de diferentes tamanhos. Possui alça reforçada e porta-cadeado para maior segurança no transporte e armazenamento. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",119.00,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/83e8f2c950b1f963a6d57262d604f124.jpg,
6,caixa-ferramentas-sanfonada-5-gavetas-n06-40x20x21-fercar,"Caixa Ferramentas Sanfonada 5 Gavetas 40x20x21 Cm N06 Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 5 Gavetas 40x20x21 Cm N06 Fercar","A caixa sanfonada Fercar é a escolha definitiva para profissionais e entusiastas que buscam organização e resistência. Fabricada em chapa de aço de alta qualidade com pintura eletrostática, ela protege suas ferramentas contra corrosão e impactos. Seu sistema articulado suave permite visualizar todo o conteúdo de uma só vez, facilitando o acesso rápido a itens de diferentes tamanhos. Possui alça reforçada e porta-cadeado para maior segurança no transporte e armazenamento. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",213.19,3,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/6ba4a566ea3afc8ee6763d9349758593.jpg,
14,caixa-ferramentas-bau-reto-n14-60x30x25-fercar,"Caixa Ferramentas Bau Reto N14 60x30x25cm C/ Bandeja Fercar","Ferramentas Manuais Caixa Ferramentas Bau Reto N14 60x30x25cm C/ Bandeja Fercar azul","Caixa de Ferramentas Baú Reto FERCAR (Linha Metálica)Alta Resistência e Organização para Profissionais e HobbyistasA Caixa de Ferramentas tipo Baú Reto da Fercar é a solução ideal para quem busca durabilidade, segurança e praticidade no armazenamento e transporte de ferramentas. Fabricada em chapa de aço reforçada, ela foi projetada para suportar o uso diário intenso, tanto em oficinas profissionais, canteiros de obras, quanto para organização doméstica ou automotiva.Diferenciais e DestaquesConstrução Robusta: Fabricada em chapa de aço carbono de alta qualidade, garantindo longa vida útil e proteção contra impactos.Tratamento Anti-ferrugem: Recebe tratamento especial de superfície, aumentando a resistência à corrosão e tornando-a ideal para ambientes adversos.Acabamento Premium: Pintura eletrostática a pó, que proporciona maior durabilidade da cor e resistência a arranhões.Organização Prática: Acompanha bandeja removível (estojo), perfeita para acomodar ferramentas pequenas, acessórios, parafusos e chaves.Segurança Reforçada: Possui sistema de porta-cadeado integrado (dois pontos em modelos maiores), permitindo o travamento seguro da tampa.Design Baú Reto: Formato otimizado para acomodar ferramentas de médio e grande porte, como martelos, marretas, chaves inglesas e furadeiras.Tampa com Proteção: Projetada com tampa anti-chuva, protegendo as ferramentas contra umidade e poeira.Características Técnicas GeraisMarca: FercarMaterial: Chapa de Aço CarbonoModelo: Baú Reto com Bandeja (Estojo)Tipo de Alça: Alça de aço superior para transporte manualCor: Azul Padrão Fercar Principais atributos: azul. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta, com freio. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",327.37,4,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/1a091a74982bba7161eb27752b841e1e.jpg,
CS-11,caixa-ferramentas-sanfonada-7-gavetas-roda-cs-11-fercar,"Caixa Ferramentas Sanfonada 7 Gavetas Roda 50x20x25cm CS-11 Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 7 Gavetas Roda 50x20x25cm CS-11 Fercar","A caixa sanfonada Fercar é a escolha definitiva para profissionais e entusiastas que buscam organização e resistência. Fabricada em chapa de aço de alta qualidade com pintura eletrostática, ela protege suas ferramentas contra corrosão e impactos. Seu sistema articulado suave permite visualizar todo o conteúdo de uma só vez, facilitando o acesso rápido a itens de diferentes tamanhos. Possui alça reforçada e porta-cadeado para maior segurança no transporte e armazenamento. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",299.25,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/42157cfb6b672bc02cd8ea3e1b28ed16.jpg,
00,caixa-ferramentas-bau-reto-n00-30x13x10-fercar,"Caixa Ferramentas Bau Reto N00 30x13x10 C/ Bandeja Fercar","Ferramentas Manuais Caixa Ferramentas Bau Reto N00 30x13x10 C/ Bandeja Fercar azul","Caixa de Ferramentas Baú Reto FERCAR (Linha Metálica)Alta Resistência e Organização para Profissionais e HobbyistasA Caixa de Ferramentas tipo Baú Reto da Fercar é a solução ideal para quem busca durabilidade, segurança e praticidade no armazenamento e transporte de ferramentas. Fabricada em chapa de aço reforçada, ela foi projetada para suportar o uso diário intenso, tanto em oficinas profissionais, canteiros de obras, quanto para organização doméstica ou automotiva.Diferenciais e DestaquesConstrução Robusta: Fabricada em chapa de aço carbono de alta qualidade, garantindo longa vida útil e proteção contra impactos.Tratamento Anti-ferrugem: Recebe tratamento especial de superfície, aumentando a resistência à corrosão e tornando-a ideal para ambientes adversos.Acabamento Premium: Pintura eletrostática a pó, que proporciona maior durabilidade da cor e resistência a arranhões.Organização Prática: Acompanha bandeja removível (estojo), perfeita para acomodar ferramentas pequenas, acessórios, parafusos e chaves.Segurança Reforçada: Possui sistema de porta-cadeado integrado (dois pontos em modelos maiores), permitindo o travamento seguro da tampa.Design Baú Reto: Formato otimizado para acomodar ferramentas de médio e grande porte, como martelos, marretas, chaves inglesas e furadeiras.Tampa com Proteção: Projetada com tampa anti-chuva, protegendo as ferramentas contra umidade e poeira.Características Técnicas GeraisMarca: FercarMaterial: Chapa de Aço CarbonoModelo: Baú Reto com Bandeja (Estojo)Tipo de Alça: Alça de aço superior para transporte manualCor: Azul Padrão Fercar Principais atributos: azul. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta, com freio. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",75.00,192,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/52a70204d19a7c8c866e67b759d56b1f.jpg,
CD02,carrinho-ferramentas-cd02-1-gaveta-azul-fercar,"Carrinho Ferramentas CD02 1 Gaveta Azul Fercar","Carrinhos Fercar Carrinho Ferramentas CD02 1 Gaveta Azul Fercar 120 kg 10 cm 850 mm 11,8 kg","O Carrinho CD-02 a soluo ideal para quem busca organizao dinmica e resistncia em ambientes profissionais, como oficinas mecnicas, marcenarias e indstrias. Projetado para suportar o uso severo, este modelo combina mobilidade eficiente com segurana para o seu inventrio de ferramentas.Destaques e BenefciosCapacidade de Carga Superior: Estrutura robusta em chapa de ao carbono que suporta at 120 kg de carga total, permitindo o transporte de equipamentos pesados com facilidade.Organizao Inteligente: Conta com uma gaveta (50 x 40 x 10 cm) equipada com divisrias internas, facilitando a separao de pequenas peas, chaves e acessrios.Segurana Reforada: A gaveta possui porta-cadeado, garantindo que suas ferramentas fiquem protegidas quando o carrinho no estiver em uso.Flexibilidade de Armazenamento: Possui prateleira central regulvel, permitindo ajustar o espao interno conforme a altura das ferramentas ou caixas armazenadas.Durabilidade Extrema: Acabamento em pintura eletrosttica, que oferece alta resistncia contra corroso e riscos, mantendo a aparncia de novo por muito mais tempo.Especificaes TcnicasDimenses (CxLxA): 650 x 410 x 850 mm.Sistema de Rodzios: 4 rodas de 3"", sendo 2 fixas e 2 giratrias (uma delas com freio de segurana) para estabilidade total durante o trabalho.Montagem Resistente: Utiliza parafusos e porcas galvanizados, assegurando uma estrutura firme e livre de folgas.Peso Aproximado: 11,8 kg.Por que escolher o modelo CD-02?Diferente de modelos soldados, a verso desmontvel facilita a logstica e permite uma manuteno mais simples, sem perder a rigidez necessria para o dia a dia pesado. o equilbrio perfeito entre versatilidade de espao e robustez industrial. Principais atributos: 120 kg, 10 cm, 850 mm, 11,8 kg, com freio, azul, galvanizado. Marca Fercar. Categoria: Carrinhos Fercar. Uso relacionado: ferramenta, com freio. Disponivel em estoque para venda online.",Fercar,"Carrinhos Fercar",721.05,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/3092012ada4ea315b6634cbcdb7a3bae.jpg,
ESTOPAPOLIMENTO1KG,estopa-polimento-automotivo-algodao-1kg-aquatools-branco,"Estopa Polimento Automotivo Algodão 1kg Aquatools Branco","Ferramentas Manuais Estopa Polimento Automotivo Algodão 1kg Aquatools Branco 1 kg ESTOPAPOLIMENTO1KG","Estopa Polimento Automotivo Algodão 1kg Aquatools Branco é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Aquatools   SKU: ESTOPAPOLIMENTO1KG   Peso: 1 kg   Categoria: Panos Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 1kg, 1 kg, branco. Marca Aquatools. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Aquatools,"Ferramentas Manuais",42.75,2,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/ea7cbc44cb21ec1b33aa6421c06436e9.jpg,
23050,jogo-cinta-catraca-amarracao-25mm-4-6m-800kg-aquatools,"Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools","Ferramentas Manuais Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools 25 mm 23050","Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Aquatools   SKU: 23050   Medida: 25 mm   Medida: 4,6 m   Peso: 800 kg   Categoria: Fitas de Gravata Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 25mm, 4,6m, 800kg, 25 mm, 4,6 m, 800 kg. Marca Aquatools. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta, pet. Disponivel em estoque para venda online.",Aquatools,"Ferramentas Manuais",46.55,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/e3da85a991c1b7d8f3165dede330a06c.jpg,
